auction_id,product_id,item,desc,retail,price,finalprice,bidincrement,bidfee,winner,placedbids,freebids,endtime_str,flg_click_only,flg_beginnerauction,flg_fixedprice,flg_endprice,id,N,cnt_uniq,cnt_n_2,P
86827,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,13.35,13.35,0.15,0.75,Racer11,26,0,19:52 PDT 09-16-2008,0,0,0,0,0,89,69,1,0.0144927536231884
88638,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,19.65,19.65,0.15,0.75,Mokkis,10,0,22:02 PDT 08-23-2008,0,0,0,0,0,131,69,1,0.0144927536231884
88639,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,47.1,47.1,0.15,0.75,Superloeffel,80,0,14:23 PDT 08-24-2008,0,0,0,0,0,314,69,1,0.0144927536231884
88693,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,55.2,55.2,0.15,0.75,Danydemir80,0,13,22:44 PDT 08-22-2008,0,0,0,0,0,368,69,1,0.0144927536231884
88694,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,86.1,86.1,0.15,0.75,Destination8,57,0,07:10 PDT 08-24-2008,0,0,0,0,0,574,69,1,0.0144927536231884
90526,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,48.6,48.6,0.15,0.75,Wadenbeisser,26,0,00:06 PDT 09-02-2008,0,0,0,0,0,324,69,1,0.0144927536231884
90527,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,113.1,113.1,0.15,0.75,Vonluxburg,286,0,02:27 PDT 09-04-2008,0,0,0,0,0,754,69,1,0.0144927536231884
92708,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,75.15,75.15,0.15,0.75,pauli55,179,0,15:12 PDT 08-25-2008,0,0,0,0,0,501,69,1,0.0144927536231884
92709,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,35.1,35.1,0.15,0.75,Voovoo3,7,0,22:33 PDT 09-05-2008,0,0,0,0,0,234,69,1,0.0144927536231884
92723,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,19.2,19.2,0.15,0.75,barrakuda,49,0,18:35 PDT 09-20-2008,0,0,0,0,0,128,69,2,0.0289855072463768
92818,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,36.6,36.6,0.15,0.75,nlkt681,84,0,13:47 PDT 09-01-2008,0,0,0,0,0,244,69,1,0.0144927536231884
92819,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,41.55,41.55,0.15,0.75,Bigpower2006,111,0,23:26 PDT 08-28-2008,0,0,0,0,0,277,69,1,0.0144927536231884
92820,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,123.75,123.75,0.15,0.75,Lodame23,226,0,14:18 PDT 08-26-2008,0,0,0,0,0,825,69,1,0.0144927536231884
92821,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,49.5,49.5,0.15,0.75,Papa1901,124,0,05:39 PDT 09-03-2008,0,0,0,0,0,330,69,1,0.0144927536231884
92823,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,63.75,63.75,0.15,0.75,rasputin900,158,0,22:47 PDT 09-06-2008,0,0,0,0,0,425,69,1,0.0144927536231884
92871,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,16.95,16.95,0.15,0.75,Merlinxx,43,0,21:56 PDT 08-24-2008,0,0,0,0,0,113,69,1,0.0144927536231884
92873,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,4.95,4.95,0.15,0.75,ElSc48,15,0,12:53 PDT 08-23-2008,0,0,0,0,0,33,69,1,0.0144927536231884
92874,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,43.65,43.65,0.15,0.75,Keclwa,110,0,07:19 PDT 08-23-2008,0,0,0,0,0,291,69,1,0.0144927536231884
92875,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,70.95,70.95,0.15,0.75,Amros,17,0,07:11 PDT 08-22-2008,0,0,0,0,0,473,69,2,0.0289855072463768
92876,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,139.5,139.5,0.15,0.75,Topscore22,0,309,21:32 PDT 08-22-2008,0,0,0,0,0,930,69,1,0.0144927536231884
92877,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,82.5,82.5,0.15,0.75,Racer11,116,1,23:14 PDT 08-20-2008,0,0,0,0,0,550,69,1,0.0144927536231884
94345,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,72.6,72.6,0.15,0.75,eondreg,82,0,18:29 PDT 09-23-2008,0,0,0,0,0,484,69,1,0.0144927536231884
94347,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,74.55,74.55,0.15,0.75,Tordera,188,0,07:14 PDT 08-21-2008,0,0,0,0,0,497,69,1,0.0144927536231884
94352,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,76.65,76.65,0.15,0.75,Hase,33,0,23:15 PDT 09-14-2008,0,0,0,0,0,511,69,1,0.0144927536231884
94353,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,106.2,106.2,0.15,0.75,Maric,92,0,21:03 PDT 09-19-2008,0,0,0,0,0,708,69,1,0.0144927536231884
94375,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,1.95,1.95,0.15,0.75,zate28,5,0,12:00 PDT 09-05-2008,0,0,0,0,0,13,69,1,0.0144927536231884
94376,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,71.25,71.25,0.15,0.75,Aluf412,31,0,08:18 PDT 09-06-2008,0,0,0,0,0,475,69,1,0.0144927536231884
94377,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,50.85,50.85,0.15,0.75,somid,68,0,14:04 PDT 08-20-2008,0,0,0,0,0,339,69,2,0.0289855072463768
94378,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,2.1,2.1,0.15,0.75,Goodluck66,4,0,03:58 PDT 09-07-2008,0,0,0,0,0,14,69,1,0.0144927536231884
94379,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,65.4,65.4,0.15,0.75,01,59,0,06:23 PDT 09-04-2008,0,0,0,0,0,436,69,1,0.0144927536231884
94380,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,67.05,67.05,0.15,0.75,Nasenbaer74,146,0,18:36 PDT 09-17-2008,0,0,0,0,0,447,69,1,0.0144927536231884
95958,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,42.9,42.9,0.15,0.75,superbulle110,60,0,01:01 PDT 08-27-2008,0,0,0,0,0,286,69,1,0.0144927536231884
95959,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,12.45,12.45,0.15,0.75,barrakuda,30,0,18:49 PDT 09-18-2008,0,0,0,0,0,83,69,1,0.0144927536231884
95960,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,31.2,31.2,0.15,0.75,Buy4mywife1,0,84,02:34 PDT 08-31-2008,0,0,0,0,0,208,69,1,0.0144927536231884
95961,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,30.45,30.45,0.15,0.75,Mada04,68,0,22:06 PDT 09-07-2008,0,0,0,0,0,203,69,1,0.0144927536231884
95962,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,23.4,23.4,0.15,0.75,Etranger,58,0,17:51 PDT 09-21-2008,0,0,0,0,0,156,69,1,0.0144927536231884
95968,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,82.65,82.65,0.15,0.75,rasputin900,195,0,00:04 PDT 08-30-2008,0,0,0,0,0,551,69,1,0.0144927536231884
95969,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,53.55,53.55,0.15,0.75,Deal,81,0,03:53 PDT 10-07-2008,1,0,0,0,0,357,69,1,0.0144927536231884
95970,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,22.65,22.65,0.15,0.75,Biggibig,54,0,05:11 PDT 08-29-2008,0,0,0,0,0,151,69,1,0.0144927536231884
95972,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,27.6,27.6,0.15,0.75,Mercie1704,68,0,14:39 PDT 08-31-2008,0,0,0,0,0,184,69,1,0.0144927536231884
95975,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,72.75,72.75,0.15,0.75,Darter69,86,0,14:01 PDT 09-03-2008,0,0,0,0,0,485,69,1,0.0144927536231884
95976,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,46.65,46.65,0.15,0.75,YuOe76,80,0,04:23 PDT 09-08-2008,0,0,0,0,0,311,69,1,0.0144927536231884
95977,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,66.45,66.45,0.15,0.75,Schocker60,8,0,01:05 PDT 08-28-2008,0,0,0,0,0,443,69,1,0.0144927536231884
95978,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,15.3,15.3,0.15,0.75,Joergo2,11,0,13:20 PDT 08-27-2008,0,0,0,0,0,102,69,1,0.0144927536231884
95979,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,51.6,51.6,0.15,0.75,Aluf412,60,0,05:53 PDT 08-27-2008,0,0,0,0,0,344,69,1,0.0144927536231884
95980,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,4.8,4.8,0.15,0.75,Casmaal,8,0,03:25 PDT 09-02-2008,0,0,0,0,0,32,69,1,0.0144927536231884
95982,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,43.2,43.2,0.15,0.75,faolinto,93,0,23:16 PDT 08-31-2008,0,0,0,0,0,288,69,2,0.0289855072463768
95984,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,11.1,11.1,0.15,0.75,silke19701,25,0,03:40 PDT 09-09-2008,0,0,0,0,0,74,69,1,0.0144927536231884
95985,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,47.55,47.55,0.15,0.75,Bigpower2006,154,0,23:17 PDT 09-09-2008,0,0,0,0,0,317,69,1,0.0144927536231884
95986,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,18.0,18.0,0.15,0.75,321mine,8,0,14:58 PDT 09-11-2008,0,0,0,0,0,120,69,1,0.0144927536231884
95987,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,37.95,37.95,0.15,0.75,Bigpower2006,101,0,23:33 PDT 09-11-2008,0,0,0,0,0,253,69,1,0.0144927536231884
95989,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,100.05,100.05,0.15,0.75,Cheese321,137,0,20:53 PDT 09-28-2008,0,0,0,0,0,667,69,1,0.0144927536231884
95990,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,55.95,55.95,0.15,0.75,Pegaso31,21,0,19:27 PDT 10-05-2008,0,0,0,0,0,373,69,1,0.0144927536231884
95994,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,36.15,36.15,0.15,0.75,Hemberger,8,0,20:49 PDT 10-28-2008,1,0,0,0,0,241,69,1,0.0144927536231884
95995,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,60.6,60.6,0.15,0.75,yellowdeli,105,0,09:46 PDT 10-15-2008,0,0,0,0,0,404,69,1,0.0144927536231884
95998,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,26.55,26.55,0.15,0.75,Pmc17569,46,0,09:28 PDT 10-21-2008,0,0,0,0,0,177,69,1,0.0144927536231884
96011,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,6.6,6.6,0.15,0.75,Galleguito,18,0,18:37 PDT 10-02-2008,0,0,0,0,0,44,69,1,0.0144927536231884
96012,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,57.75,57.75,0.15,0.75,Christin158,76,0,04:55 PDT 09-05-2008,0,0,0,0,0,385,69,1,0.0144927536231884
96013,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,67.8,67.8,0.15,0.75,Nasenbaer74,40,0,13:43 PDT 09-02-2008,0,0,0,0,0,452,69,1,0.0144927536231884
99186,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,22.5,22.5,0.15,0.75,Voovoo3,2,1,09:45 PDT 10-26-2008,1,0,0,0,0,150,69,1,0.0144927536231884
99187,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,34.8,34.8,0.15,0.75,Jonniboiuk,4,0,08:56 PDT 10-18-2008,0,0,0,0,0,232,69,1,0.0144927536231884
102078,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,32.1,32.1,0.15,0.75,Blueoscar,26,0,18:48 PDT 09-10-2008,0,0,0,0,0,214,69,1,0.0144927536231884
107728,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,17.25,17.25,0.15,0.75,Porygon,34,0,07:46 PDT 10-11-2008,0,0,0,0,0,115,69,1,0.0144927536231884
115849,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,24.9,24.9,0.15,0.75,Catalana71,12,0,03:18 PDT 11-07-2008,0,1,0,0,0,166,69,1,0.0144927536231884
115859,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,14.25,14.25,0.15,0.75,Mattiyorks,1,0,09:10 PDT 11-05-2008,0,1,0,0,0,95,69,1,0.0144927536231884
